,open,close,high,low,volume,datetime,signals
0,57903.35,57985.71,58167.76,57806.03,979.303042,2021-04-09 08:30:00,0
1,57985.71,58192.77,58200.0,57971.06,1219.538947,2021-04-09 09:30:00,0
2,58192.76,57947.67,58314.0,57947.66,1277.356886,2021-04-09 10:30:00,0
3,57947.67,57830.0,58100.94,57809.38,1445.825147,2021-04-09 11:30:00,0
4,57830.81,58051.42,58062.88,57654.0,1704.039556,2021-04-09 12:30:00,0
5,58048.7,57740.13,58061.48,57669.58,1675.368723,2021-04-09 13:30:00,0
6,57740.12,57911.45,57935.94,57740.12,1569.259373,2021-04-09 14:30:00,0
7,57911.44,58633.03,58650.0,57857.95,3251.130576,2021-04-09 15:30:00,0
8,58633.02,58527.19,58894.9,58450.8,2951.531801,2021-04-09 16:30:00,0
9,58527.2,58504.18,58700.0,58350.0,2290.103815,2021-04-09 17:30:00,0
10,58504.18,58390.15,58783.47,58304.54,2509.534482,2021-04-09 18:30:00,0
11,58390.16,58358.48,58530.0,58024.0,2593.210819,2021-04-09 19:30:00,0
12,58358.49,58240.0,58369.63,58051.0,1701.007847,2021-04-09 20:30:00,0
13,58239.99,58207.56,58291.04,57870.57,2274.286624,2021-04-09 21:30:00,0
14,58207.56,58405.08,58447.89,58080.57,1407.368662,2021-04-09 22:30:00,0
15,58405.02,58381.84,58528.0,58240.35,1390.507909,2021-04-09 23:30:00,0
16,58381.85,58370.59,58499.0,58208.33,1288.287785,2021-04-10 00:30:00,0
17,58370.59,58331.66,58600.0,58263.47,1388.154447,2021-04-10 01:30:00,0
18,58331.65,58361.24,58514.07,58310.97,888.460055,2021-04-10 02:30:00,0
19,58361.24,58086.38,58361.24,58025.0,1284.14011,2021-04-10 03:30:00,0
20,58086.37,58142.54,58181.39,57873.31,1487.528013,2021-04-10 04:30:00,0
21,58142.55,58109.08,58327.9,57900.01,1547.050745,2021-04-10 05:30:00,0
22,58109.08,58413.52,58435.72,58072.92,1476.432913,2021-04-10 06:30:00,0
23,58414.98,58721.55,58733.0,58334.82,1680.436608,2021-04-10 07:30:00,0
24,58721.22,59229.5,59238.27,58707.1,4519.509551,2021-04-10 08:30:00,0
25,59229.5,61074.09,61232.83,59229.5,11794.107861,2021-04-10 09:30:00,0
26,61074.09,60851.92,61500.0,60663.1,5998.781763,2021-04-10 10:30:00,0
27,60851.91,60576.8,61050.0,60521.01,2869.435605,2021-04-10 11:30:00,0
28,60576.8,60480.4,60816.9,60333.0,3925.458861,2021-04-10 12:30:00,0
29,60480.4,60534.89,60821.58,60338.54,2426.387609,2021-04-10 13:30:00,0
30,60534.89,60772.73,60803.0,60452.65,1891.513568,2021-04-10 14:30:00,0
31,60772.73,60659.02,60997.18,60515.88,1957.635669,2021-04-10 15:30:00,0
32,60659.02,60575.94,60723.38,60500.0,1553.650081,2021-04-10 16:30:00,0
33,60575.94,60088.62,60800.0,59811.74,3523.271144,2021-04-10 17:30:00,0
34,60088.61,60465.89,60490.0,59981.06,2381.214252,2021-04-10 18:30:00,0
35,60465.88,60398.19,60499.0,60255.0,2006.878229,2021-04-10 19:30:00,0
36,60398.19,60247.26,60465.94,60106.85,2082.226622,2021-04-10 20:30:00,0
37,60247.26,60265.0,60550.0,60116.14,2397.70075,2021-04-10 21:30:00,0
38,60265.0,60100.48,60265.0,59920.86,2358.924027,2021-04-10 22:30:00,0
39,60100.48,60020.0,60115.82,59572.64,2460.215042,2021-04-10 23:30:00,0
40,60020.0,59567.38,60020.01,59550.0,1490.84532,2021-04-11 00:30:00,0
41,59567.38,58615.28,59800.0,58374.61,3793.833218,2021-04-11 01:30:00,0
42,58619.72,59161.03,59256.36,58485.84,2360.073159,2021-04-11 02:30:00,0
43,59161.04,59029.17,59399.84,59013.79,1603.625597,2021-04-11 03:30:00,0
44,59029.17,59769.13,59842.63,59008.39,1807.215923,2021-04-11 04:30:00,0
45,59769.13,60148.5,60429.56,59544.94,3267.635378,2021-04-11 05:30:00,0
46,60148.5,60594.67,60600.0,60036.58,1914.398174,2021-04-11 06:30:00,0
47,60594.67,60509.7,60594.68,60262.53,1210.228989,2021-04-11 07:30:00,0
48,60509.7,60268.58,60699.0,60202.69,1441.270928,2021-04-11 08:30:00,0
49,60268.58,59906.6,60328.0,59777.77,1697.500794,2021-04-11 09:30:00,0
50,59906.59,59679.97,60012.05,59535.52,2572.829914,2021-04-11 10:30:00,0
51,59679.96,59735.0,59909.68,59339.83,2046.862344,2021-04-11 11:30:00,0
52,59735.01,59655.49,59790.15,59400.0,1192.611866,2021-04-11 12:30:00,0
53,59655.5,59961.81,60144.7,59655.49,1433.554804,2021-04-11 13:30:00,0
54,59961.81,59676.2,60045.0,59455.09,1743.375163,2021-04-11 14:30:00,0
55,59676.2,59599.99,59950.81,59500.0,1608.373258,2021-04-11 15:30:00,0
56,59600.0,59721.84,59860.87,59450.0,1669.713692,2021-04-11 16:30:00,0
57,59721.85,59724.45,59844.0,59449.93,1722.788442,2021-04-11 17:30:00,0
58,59724.44,59340.55,59746.0,59232.52,1816.723554,2021-04-11 18:30:00,0
59,59340.54,59570.77,59664.98,59250.0,1626.838611,2021-04-11 19:30:00,0
60,59573.36,59645.46,59780.06,59558.0,1515.938864,2021-04-11 20:30:00,0
61,59645.45,59569.4,59785.37,59480.0,1802.114348,2021-04-11 21:30:00,0
62,59569.41,59864.39,59975.95,59405.18,2132.313387,2021-04-11 22:30:00,0
63,59864.39,59865.0,59948.89,59758.63,1183.987714,2021-04-11 23:30:00,0
64,59865.01,59705.53,60190.0,59557.13,1932.371834,2021-04-12 00:30:00,0
65,59705.53,59707.8,59820.0,59479.0,1158.885152,2021-04-12 01:30:00,0
66,59707.79,59610.72,59707.81,59488.57,967.262478,2021-04-12 02:30:00,0
67,59610.72,60101.68,60130.57,59433.29,2000.612746,2021-04-12 03:30:00,0
68,60101.68,60002.43,60107.96,59760.0,1498.522957,2021-04-12 04:30:00,0
69,59998.8,59830.28,60355.0,59605.0,1825.011152,2021-04-12 05:30:00,0
70,59830.28,59865.36,60147.9,59800.0,1521.296424,2021-04-12 06:30:00,0
71,59865.36,59694.25,59922.88,59586.01,1268.139445,2021-04-12 07:30:00,0
72,59694.26,60368.96,60456.29,59665.0,2098.575788,2021-04-12 08:30:00,0
73,60368.95,60126.54,60607.0,60056.0,2502.185128,2021-04-12 09:30:00,0
74,60126.54,60207.01,60287.19,60020.0,1552.457457,2021-04-12 10:30:00,0
